ds,yhat,yhat_lower,yhat_upper
2022-09-15,3881.8772807844935,3698.2612734304485,4068.5654264198392
2022-09-16,3877.7861940416915,3701.137996711562,4063.465801265463
2022-09-19,3858.925897794548,3686.7503344635284,4038.2718181375453
2022-09-20,3852.213117179371,3670.6225925202557,4028.3857845175644
2022-09-21,3843.8973818809636,3654.910183357516,4029.4382332863684
2022-09-22,3840.5687884830063,3651.127115537659,4036.790708237629
2022-09-23,3838.8060914470916,3651.765861556943,4042.1055233883903
2022-09-26,3826.452514615081,3642.050573868346,3999.8605718818762
2022-09-27,3821.6386418681427,3646.8749698114234,3997.973991803747
2022-09-28,3815.048796148182,3630.4620766576704,3987.052760531133
2022-09-29,3813.261360007845,3632.12752444558,3984.762786715203
2022-09-30,3812.8508662665095,3632.996781469887,3986.356145227598
2022-10-03,3803.484399197525,3614.357795335351,3991.7052049666895
2022-10-04,3799.3628810679666,3619.8861069797204,3984.494403607227
2022-10-05,3793.3535470197066,3619.0679413716052,3980.6614926641805
2022-10-06,3792.064708705855,3605.1021403246054,3976.795276660524
2022-10-07,3792.1034024932947,3611.4901374063097,3975.4951569184796
2022-10-10,3784.128704595689,3601.810487544497,3952.7859221581684
2022-10-11,3780.5970782617087,3587.5980535292674,3963.097263952985
2022-10-12,3775.2915542033015,3601.4916946844505,3955.457446227384
2022-10-13,3774.8463269497815,3592.3503769863623,3950.2872884845515
2022-10-14,3775.890170442567,3597.80856016689,3947.5108321662287
2022-10-17,3772.0449395836367,3579.5667054836927,3955.7546003135767
2022-10-18,3770.2832054720125,3578.9174436951753,3952.3642963269613
2022-10-19,3766.9631448872256,3583.621376099619,3943.5135334265174
2022-10-20,3768.688632578095,3591.8362602866887,3948.3351621339257
2022-10-21,3772.0746088592778,3577.850308390693,3945.706924789253
2022-10-24,3776.086197282538,3599.2413167960417,3958.9952842619787
2022-10-25,3777.138673642711,3599.751065636812,3968.601897668346
2022-10-26,3776.6632087001317,3609.481137168847,3951.024351553901
2022-10-27,3781.2556080284576,3590.7422926553886,3962.159269926772
2022-10-28,3787.5014864038076,3590.485453556483,3973.4076943257155
2022-10-31,3799.770387512348,3607.6988785042854,3965.459435335987
2022-11-01,3803.382671869313,3627.2282235072466,3988.2952382687954
2022-11-02,3805.3338333278934,3621.11331968419,3986.8271279198425
2022-11-03,3812.201650254974,3626.118683542434,4020.832359544503
2022-11-04,3820.5566814572985,3635.217913352158,4000.33394985597
2022-11-07,3838.0494084828083,3661.89605235195,4015.9313134192166
2022-11-08,3843.013673261905,3660.1548905037957,4029.3987737517805
