Change (%),Selected_Driver,Labor_Hours,Machine_Hours,Number_of_Setups,Batch_Size,Material_Movements,Predicted_Overhead_Cost,Cost_Difference
-15,Labor_Hours,1001.963,921.3044398284275,4.478625101173197,415.41820566049853,69.97838346722911,55213.66741106177,-2900.2825889382148
-10,Labor_Hours,1060.902,915.149626552285,4.495750067448798,412.35880377366567,70.8622556448194,56180.42827404118,-1933.5217259588026
-5,Labor_Hours,1119.841,908.9948132761426,4.5128750337243995,409.29940188683287,71.7461278224097,57147.18913702058,-966.7608629794049
0,Labor_Hours,1178.78,902.84,4.53,406.24,72.63,58113.94999999998,0.0
5,Labor_Hours,1237.719,896.6851867238576,4.547124966275601,403.18059811316715,73.51387217759029,59080.71086297937,966.7608629793904
10,Labor_Hours,1296.6580000000001,890.5303734477151,4.564249932551203,400.12119622633435,74.39774435518058,60047.47172595878,1933.5217259587953
15,Labor_Hours,1355.5969999999998,884.3755601715727,4.5813748988268035,397.06179433950143,75.28161653277087,61014.232588938175,2900.282588938193
