Change (%),Selected_Driver,Labor_Hours,Machine_Hours,Number_of_Setups,Batch_Size,Material_Movements,Predicted_Overhead_Cost,Cost_Difference
-15,Number_of_Setups,1165.4114120885079,898.2411939940747,3.8505000000000003,406.310133950061,73.28936400070792,57079.807622864464,-1034.1423771355185
-10,Number_of_Setups,1169.8676080590053,899.7741293293831,4.077,406.28675596670735,73.06957600047194,57424.521748576306,-689.4282514236766
-5,Number_of_Setups,1174.3238040295025,901.3070646646916,4.3035,406.2633779833537,72.84978800023598,57769.23587428813,-344.7141257118492
0,Number_of_Setups,1178.78,902.84,4.53,406.24,72.63,58113.94999999998,0.0
5,Number_of_Setups,1183.2361959704974,904.3729353353085,4.756500000000001,406.21662201664634,72.41021199976402,58458.66412571182,344.71412571183464
10,Number_of_Setups,1187.6923919409946,905.905870670617,4.9830000000000005,406.19324403329273,72.19042399952804,58803.37825142364,689.4282514236547
15,Number_of_Setups,1192.148587911492,907.4388060059254,5.2095,406.16986604993906,71.97063599929207,59148.09237713549,1034.142377135504
