Change (%),Selected_Driver,Labor_Hours,Machine_Hours,Number_of_Setups,Batch_Size,Material_Movements,Predicted_Overhead_Cost,Cost_Difference
-15,Material_Movements,1135.7444425650604,933.5487577305211,4.571125140068937,413.3046854955574,61.735499999999995,54812.717523804065,-3301.232476195917
-10,Material_Movements,1150.089628376707,923.3125051536808,4.557416760045958,410.94979033037157,65.367,55913.1283492027,-2200.821650797283
-5,Material_Movements,1164.4348141883536,913.0762525768403,4.543708380022979,408.5948951651858,68.99849999999999,57013.539174601334,-1100.4108253986487
0,Material_Movements,1178.78,902.84,4.53,406.24,72.63,58113.94999999998,0.0
5,Material_Movements,1193.1251858116464,892.6037474231597,4.5162916199770216,403.88510483481423,76.2615,59214.36082539861,1100.410825398627
10,Material_Movements,1207.470371623293,882.3674948463193,4.502583239954042,401.53020966962845,79.893,60314.77165079726,2200.8216507972757
15,Material_Movements,1221.8155574349394,872.131242269479,4.488874859931063,399.1753145044426,83.52449999999999,61415.18247619589,3301.23247619591
