Change (%),Selected_Driver,Labor_Hours,Machine_Hours,Number_of_Setups,Batch_Size,Material_Movements,Predicted_Overhead_Cost,Cost_Difference
-15,Batch_Size,1205.4122500701123,906.9821548761983,4.530782066743246,345.304,73.89306643250869,59981.99691296471,1868.0469129647245
-10,Batch_Size,1196.5348333800748,905.6014365841321,4.530521377828831,365.61600000000004,73.47204428833912,59359.31460864312,1245.36460864314
-5,Batch_Size,1187.6574166900375,904.2207182920661,4.5302606889144155,385.928,73.05102214416955,58736.632304321545,622.6823043215627
0,Batch_Size,1178.78,902.84,4.53,406.24,72.63,58113.94999999998,0.0
5,Batch_Size,1169.9025833099624,901.459281707934,4.529739311085585,426.552,72.20897785583044,57491.26769567841,-622.68230432157
10,Batch_Size,1161.0251666199251,900.0785634158678,4.52947862217117,446.86400000000003,71.78795571166087,56868.58539135683,-1245.3646086431545
15,Batch_Size,1152.1477499298876,898.6978451238019,4.529217933256755,467.176,71.3669335674913,56245.90308703525,-1868.0469129647317
