ds,yhat,yhat_lower,yhat_upper,std_dev,ReorderPoint,SafetyStock
2025-01-01,36981.6550084754,20076.369601840703,55432.028229049894,8838.914656802299,51520.375840031185,14538.72083155579
2025-02-01,37055.57835887761,17624.653515161837,55676.14860437021,9512.873772302093,52702.863285980246,15647.284927102632
2025-03-01,37122.347836660265,19161.931442540426,57008.40872635242,9461.619320953,52685.32669356393,15562.978856903666
2025-04-01,37196.27118706248,16622.50596168806,57172.750784029144,10137.56120558527,53871.075504511944,16674.80431744947
2025-05-01,37267.80991325817,19294.507104330038,56189.9995649597,9223.873115157414,52439.73106126502,15171.921148006846
2025-06-01,37341.73326366038,17972.176577353115,56385.092965815056,9603.229097115485,53137.6394744967,15795.906210836318
